episode,ep_len,ep_reward,ep_mean,ep_std,fps,time_elapsed,total_timesteps,timestamp
328,2048,250.000000,220.541822,47.762162,1128.197373,1.815285,671744,1761983215
329,2048,250.000000,221.169974,47.823539,1579.659893,1.296482,673792,1761983217
330,2048,239.112517,222.202034,47.080214,985.499576,2.078134,675840,1761983219
331,2048,198.243964,221.958713,47.140490,1242.069398,1.648861,677888,1761983220
332,2048,250.000000,221.989250,47.161935,1109.496027,1.845883,679936,1761983222
333,2048,250.000000,223.186860,46.501315,1089.205686,1.880269,681984,1761983224
334,2048,162.086017,222.364107,46.845970,1482.157823,1.381769,684032,1761983225
335,2048,250.000000,222.594700,47.006285,1091.691553,1.875988,686080,1761983227
336,2048,223.459457,222.211460,46.841155,1093.694921,1.872551,688128,1761983229
337,2048,228.006465,223.100491,46.093055,1510.970644,1.355420,690176,1761983230
338,2048,241.681157,224.278061,45.036386,1107.854606,1.848618,692224,1761983232
339,2048,250.000000,225.034151,45.188051,1112.259654,1.841297,694272,1761983234
340,2048,250.000000,226.267577,44.902822,1366.887401,1.498295,696320,1761983236
341,2048,250.000000,226.281390,44.916749,1065.517758,1.922070,698368,1761983238
342,2048,250.000000,227.580006,44.425442,1034.672836,1.979370,700416,1761983240
343,2048,233.636999,227.145435,44.150667,1432.942070,1.429227,702464,1761983241
344,2048,199.527143,227.304279,44.022255,1087.487117,1.883241,704512,1761983243
345,2048,230.470994,226.869907,43.773865,1115.325045,1.836236,706560,1761983245
346,2048,223.133746,226.344677,43.499580,1533.143749,1.335817,708608,1761983246
347,2048,229.248923,226.001567,43.339708,1056.015158,1.939366,710656,1761983248
